Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,--,MoreCompany:More (Ebene; Muritius (India))Description:Grocery Chain,Other Securities,Purchase,04/26/2023,"$15,001 - $50,000"
Self,--,MoreCompany:More (Ebene; Muritius (India))Description:Grocery Chain,Other Securities,Purchase,10/04/2022,"$1,001 - $15,000"
Self,--,Oakcliff Capital Partners; LPCompany:Oakcliff Capital Partners; LP (New York; NY)Description:Investment Fund,Other Securities,Purchase,07/01/2021,"$500,001 - $1,000,000"
Self,--,MoreCompany:More (Ebene; Muritius (India))Description:Grocery Chain,Other Securities,Purchase,08/27/2020,"$1,001 - $15,000"
Self,--,CP Kent Place Member LLCCompany:CP Kent Place Member LLC (Denver; CO)Description:Holding Company,Other Securities,Purchase,03/30/2020,"$100,001 - $250,000"
Self,--,MoreCompany:More (Ebene; Muritius (India))Description:Grocery Chain,Other Securities,Purchase,03/01/2019,"$100,001 - $250,000"
Self,RGC,Regal Entertainment Group,Stock,Sale (Full),12/08/2017,"$500,001 - $1,000,000"
Self,LVLT,Level 3 Communications; Inc. (Exchanged)CenturyLink; Inc. (Received),Stock,Exchange,11/01/2017,"$50,001 - $100,000"
Self,RGC,Regal Entertainment Group,Stock,Sale (Partial),03/28/2017,"$500,001 - $1,000,000"
Self,--,Continuum Real Estate Investors 2016; LLCCompany:Continuum Real Estate Investors 2016; LLC (Denver ; CO)Description:Private Equity,Other Securities,Purchase,01/25/2017,"$250,001 - $500,000"
