Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Joint,--,Bird Dog Hospitality Fund 1; LLCCompany:Bird Dog Equity Partners (Sioux Falls; SD)Description:Hospitality,Non-Public Stock,Purchase,05/01/2021,"$15,001 - $50,000"
Self,--,Bird Dog Hospitality Fund 2; LLCCompany:Bird Dog Equity Partners (Sioux Falls; SD)Description:Property Investment,Non-Public Stock,Purchase,03/31/2019,"$250,001 - $500,000"
Joint,--,Bird Dog Hospitality; LLCCompany:Bird Dog Hospitality; LLC (Sioux Falls; SD)Description:Hospitality Investments,Non-Public Stock,Purchase,08/20/2018,"$15,001 - $50,000"
Joint,--,Bird Dog Hospitality V; LLCCompany:Bird Dog Hospitality V; LLC (Sioux Falls; SD)Description:Hospitality Property,Non-Public Stock,Purchase,04/09/2018,"$50,001 - $100,000"
Joint,--,Bird Dog Hospitality III; LLCCompany:Bird Dog Hospitality III (Sioux Falls; SD)Description:This is an LLC which holds an underlying asset of hospitality property.,Non-Public Stock,Purchase,10/17/2017,"$50,001 - $100,000"
Joint,--,Bird Dog Hospitality IV; LLCCompany:Bird Dog Hospitality IV; LLC (Sioux Falls; SD)Description:Hospitality Property,Non-Public Stock,Purchase,07/18/2017,"$50,001 - $100,000"
Joint,--,Bird Dog Hospitality II; LLCCompany:Bird Dog Hopitality II; LLC (Sioux Falls; SD)Description:Hospitality Property,Non-Public Stock,Purchase,11/07/2016,"$15,001 - $50,000"
Joint,--,Bird Dog Hospitality; LLCCompany:Bird Dog Hospitality; LLC (Sioux Falls; SD)Description:Hospitality Investments,Non-Public Stock,Purchase,09/26/2016,"$250,001 - $500,000"
Self,--,Bird Dog LLU; LLCCompany:Bird Dog LLU; LLC (Sioux Falls; SD)Description:Marketing Company,Other Securities,Purchase,12/20/2015,"$1,001 - $15,000"
Spouse,--,Fischer; Rounds & Assoc.; Inc (Insurance/Real Estate Agency; Pierre; SD),Stock,Sale (Full),12/28/2015,"$5,000,001 - $25,000,000"
