Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,FB,Facebook; Inc.,Stock,Purchase,08/31/2020,"$15,001 - $50,000"
Spouse,--,Spotify Technology S.A.,Stock,Sale (Full),07/08/2020,"$15,001 - $50,000"
Spouse,V,Visa Inc.,Stock,Purchase,11/16/2020,"$15,001 - $50,000"
Spouse,COST,Costco Wholesale Corporation,Stock,Purchase,11/24/2020,"$15,001 - $50,000"
Spouse,COST,Costco Wholesale Corporation,Stock,Sale (Full),11/04/2020,"$15,001 - $50,000"
Spouse,BA,The Boeing Company,Stock,Sale (Full),11/09/2020,"$15,001 - $50,000"
Spouse,--,msft,Stock,Purchase,11/11/2020,"$15,001 - $50,000"
Spouse,NVDA,NVIDIA Corporation,Stock,Sale (Full),11/04/2020,"$15,001 - $50,000"
Joint,W,Wayfair Inc.,Stock,Purchase,11/17/2020,"$15,001 - $50,000"
Spouse,DAL,Delta Air Lines; Inc.,Stock,Purchase,11/16/2020,"$1,001 - $15,000"
Spouse,BA,The Boeing Company,Stock,Purchase,11/16/2020,"$15,001 - $50,000"
Spouse,--,Walmart Inc.,Stock,Sale (Full),11/16/2020,"$15,001 - $50,000"
Spouse,DIS,The Walt Disney Company,Stock,Purchase,11/10/2020,"$1,001 - $15,000"
Spouse,--,aapl,Stock,Sale (Full),11/09/2020,"$50,001 - $100,000"
Spouse,--,ba,Stock,Sale (Full),11/09/2020,"$15,001 - $50,000"
Spouse,--,zm,Stock,Sale (Full),11/04/2020,"$15,001 - $50,000"
Spouse,BA,The Boeing Company,Stock,Purchase,12/22/2020,"$15,001 - $50,000"
Spouse,PLUG,Plug Power Inc.,Stock,Purchase,12/22/2020,"$1,001 - $15,000"
Spouse,SQ,Square; Inc.,Stock,Purchase,12/22/2020,"$15,001 - $50,000"
Spouse,BA,The Boeing Company,Stock,Purchase,12/21/2020,"$15,001 - $50,000"
Spouse,NVDA,NVIDIA Corporation,Stock,Purchase,12/21/2020,"$50,001 - $100,000"
Spouse,EXPI,eXp World Holdings; Inc.,Stock,Purchase,12/21/2020,"$1,001 - $15,000"
Spouse,ETY,Eaton Vance Tax-Managed Diversified Equity Income,Stock,Sale (Partial),12/21/2020,"$100,001 - $250,000"
Spouse,W,Wayfair Inc.,Stock,Sale (Full),12/21/2020,"$50,001 - $100,000"
Spouse,TSLA,Tesla; Inc.,Stock,Sale (Full),12/21/2020,"$1,001 - $15,000"
Spouse,TSLA,Tesla; Inc.,Stock,Purchase,12/11/2020,"$1,001 - $15,000"
