Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Joint,--,ETHE - Grayscale Ethereum TrustExchange/Platform: OTC,Cryptocurrency,Purchase,06/14/2021,"$1,001 - $15,000"
Joint,--,GBTC - Grayscale Bitcoin TrustExchange/Platform: OTC,Cryptocurrency,Purchase,06/15/2021,"$1,001 - $15,000"
Joint,--,MeddoCompany:Meddo (Gurugram; India)Description:Healthcare technology company that connects patients with healthcare providers and clinics in India.,Non-Public Stock,Purchase,02/24/2022,"$1,001 - $15,000"
Self,--,PHLD - Phillips Edison Grocery Center REIT I,Stock,Sale (Full),02/18/2022,"$15,001 - $50,000"
Self,--,PHLD - Phillips Edison Grocery Center REIT I,Stock,Sale (Partial),01/20/2022,"$15,001 - $50,000"
Joint,SPG,Simon Property Group; Inc. Common Stock,Stock,Purchase,10/15/2021,"$1,001 - $15,000"
Joint,--,Fitso (Exchanged)Zomato (Received)Company:Zomato (Gurugam; India)Description:Zomato is a multinational online food delivery technology company.,Non-Public Stock,Exchange,01/16/2021,"$1,001 - $15,000"
Joint,--,MeddoCompany:Meddo (Gurugram; India)Description:Healthcare technology company that connects patients with healthcare providers and clinics in India.,Non-Public Stock,Purchase,12/07/2020,"$1,001 - $15,000"
Child,TSLA,Tesla; Inc.,Stock,Sale (Partial),12/22/2020,"$1,001 - $15,000"
Child,SHOP,Shopify Inc.,Stock,Purchase,12/22/2020,"$1,001 - $15,000"
Joint,--,AIARA Co.; LtdCompany:AIARA Co.; Ltd (Seoul; South Korea)Description:Gaming Technology Company,Non-Public Stock,Purchase,03/31/2021,"$1,001 - $15,000"
Child,PENN,Penn National Gaming; Inc.,Stock,Purchase,02/09/2021,"$1,001 - $15,000"
Child,GME,GameStop Corp.,Stock,Sale (Full),01/28/2021,"$1,001 - $15,000"
Child,SHOP,Shopify Inc.,Stock,Sale (Full),01/27/2021,"$1,001 - $15,000"
Child,GME,GameStop Corp.,Stock,Purchase,01/27/2021,"$1,001 - $15,000"
Child,TSLA,Tesla; Inc.,Stock,Sale (Full),01/27/2021,"$1,001 - $15,000"
Self,AIV,Apartment Investment and Management Company (Exchanged)Apartment Income REIT Corp. (Received),Stock,Exchange,12/15/2020,"$15,001 - $50,000"
Self,NTRP,Neurotrope; Inc. (Exchanged)Synaptogenix (Received),Stock,Exchange,12/08/2020,"$1,001 - $15,000"
Self,NTRP,Neurotrope; Inc. (Exchanged)Petros Pharmaceuticals; Inc. (Received),Stock,Exchange,12/02/2020,"$1,001 - $15,000"
Self,AIV,Apartment Investment and Management Company,Stock,Purchase,11/30/2020,"$1,001 - $15,000"
Joint,--,SpoonshotCompany:Spoonshot (Bangalore; India)Description:Technology company that provides market intelligence to food and beverage companies.,Non-Public Stock,Purchase,08/17/2020,"$1,001 - $15,000"
Child,TSLA,Tesla; Inc.,Stock,Purchase,08/28/2020,"$1,001 - $15,000"
Child,AAPL,Apple Inc.,Stock,Purchase,08/27/2020,"$1,001 - $15,000"
