Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,WMB,The Williams Companies; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,WRK,WestRock Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,WBA,Walgreens Boots Alliance; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,WMT,Wal-Mart Stores; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,VZ,Verizon Communications Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,VTR,Ventas; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,UTX,United Technologies Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,UPS,United Parcel Service; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,UN,Unilever N.V.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,USB,U.S. Bancorp,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,TUP,Tupperware Brands Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,TWX,Time Warner Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,TEVA,Teva Pharmaceutical Industries Limited,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,TGT,Target Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,TSM,Taiwan Semiconductor Manufacturing Company Limited,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,STI,SunTrust Banks; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,SU,Suncor Energy Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,STT,State Street Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,SO,The Southern Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,SLB,Schlumberger Limited,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,SNY,Sanofi,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,SABR,Sabre Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,RAI,Reynolds American Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,RTN,Raytheon Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,QCOM,QUALCOMM Incorporated,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,PSA,Public Storage,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,PRU,Prudential Financial; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,PG,The Procter & Gamble Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,PDM,Piedmont Office Realty Trust; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,PFE,Pfizer Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,PAYX,Paychex; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,PPL,PPL Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,MS,Morgan Stanley,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,TAP,Molson Coors Brewing Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,MET,MetLife; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,MRK,Merck & Co.; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,MXIM,Maxim Integrated Products; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,MDC,M.D.C. Holdings; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,MTB,M&T Bank Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,KMI,Kinder Morgan; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,KMB,Kimberly-Clark Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,KEY,KeyCorp,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,KAR,KAR Auction Services; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,JNJ,Johnson & Johnson,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,JPM,JPMorgan Chase & Co.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,HSY,The Hershey Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,GSK,GlaxoSmithKline plc,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,GILD,Gilead Sciences; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,GM,General Motors Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,GE,General Electric Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,GD,General Dynamics Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,EXC,Exelon Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,ETR,Entergy Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,DNKN,Dunkin' Brands Group; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,DUK,Duke Energy Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,DOW,The Dow Chemical Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,DIS,The Walt Disney Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,CCI,Crown Castle International Corp.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,COP,ConocoPhillips,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,CMA,Comerica Incorporated,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,CMCSA,Comcast Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,KO,The Coca-Cola Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,CSCO,Cisco Systems; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,CVX,Chevron Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,CVS,CVS Health Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,BMY,Bristol-Myers Squibb Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,BA,The Boeing Company,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,BAC,Bank of America Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,BGS,B&G Foods; Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc.,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
Spouse,APA,Apache Corporation,Stock,Sale (Full),06/15/2017,"$1,001 - $15,000"
