Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,GS,Goldman Sachs Group,Stock,Sale (Partial),04/15/2024,"$250,001 - $500,000"
Self,BTC,BitcoinExchange/Platform: River,Cryptocurrency,Purchase,01/25/2022,"$15,001 - $50,000"
Joint,PAGP,Plains GP Holdings; L.P.,Stock,Sale (Full),11/27/2019,"$1,001 - $15,000"
Joint,GS,The Goldman Sachs Group; Inc.,Stock,Sale (Partial),05/15/2019,"$50,001 - $100,000"
Joint,--,GS-The Goldman Sachs Group; Inc.,Stock,Sale (Full),02/25/2016,"$50,001 - $100,000"
Joint,OKE,ONEOK Inc.,Stock,Sale (Partial),02/25/2016,"$15,001 - $50,000"
Joint,--,OKE-ONEOK Inc.,Stock,Sale (Full),04/17/2016,"$15,001 - $50,000"
Joint,OKE,ONEOK Inc.,Stock,Sale (Partial),04/17/2016,"$15,001 - $50,000"
Joint,--,CVX - Chevron Corporation CMN,Stock,Sale (Full),11/29/2015,"$15,001 - $50,000"
Joint,--,CVX (Chevron Corporation CMN),Stock,Sale (Partial),10/15/2015,"$15,001 - $50,000"
Joint,PAGP,Plains GP Holdings; L.P. (NYSE),Stock,Purchase,02/03/2015,"$50,001 - $100,000"
Joint,BFK,BlackRock Municipal Income Trust (NYSE),,Purchase,02/06/2014,"$15,001 - $50,000"
Joint,EPD,Enterprise Products Partners L.P. (NYSE),,Purchase,02/21/2014,"$50,001 - $100,000"
