Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,--,Central Texas Regional Mobility Auth Revenue BondRate/Coupon:5.0%Matures:01/01/2040,Municipal Security,Purchase,02/07/2025,"$500,001 - $1,000,000"
Self,--,Port of Seattle Washington Revenue BondRate/Coupon:5.0%Matures:05/01/2026,Municipal Security,Sale (Full),02/07/2025,"$100,001 - $250,000"
Spouse,--,Port of Seattle Washington Revenue BondRate/Coupon:5.0%Matures:05/01/2026,Municipal Security,Sale (Full),02/07/2025,"$250,001 - $500,000"
Self,--,Charlotte NC Water & Sewer Sys Revenue BondRate/Coupon:5.0%Matures:07/01/2054,Municipal Security,Purchase,02/07/2025,"$100,001 - $250,000"
Self,--,Charlotte NC Water & Sewer Sys Revenue BondRate/Coupon:5.0%Matures:07/01/2054,Municipal Security,Purchase,02/07/2025,"$500,001 - $1,000,000"
Spouse,--,Charlotte NC Water & Sewer Sys Revenue BondRate/Coupon:5.0%Matures:07/01/2054,Municipal Security,Purchase,02/07/2025,"$250,001 - $500,000"
Self,--,Chicago Illinois Met Water Reclamation District BondRate/Coupon:5.0%Matures:12/01/2030,Municipal Security,Sale (Full),12/04/2024,"$100,001 - $250,000"
Self,--,South Carolina ST Ports Authority Revenue BondRate/Coupon:5.0%Matures:07/01/2038,Municipal Security,Sale (Full),12/04/2024,"$500,001 - $1,000,000"
Self,--,Tampa Fla Wtr & Wastewater Sys Revenue BondRate/Coupon:5.0%Matures:10/01/2050,Municipal Security,Purchase,12/04/2024,"$100,001 - $250,000"
Self,--,Tampa Fla Wtr & Wastewater Sys Revenue BondRate/Coupon:5.0%Matures:10/01/2050,Municipal Security,Purchase,12/04/2024,"$500,001 - $1,000,000"
Spouse,--,Tampa Fla Wtr & Wastewater Sys Revenue BondRate/Coupon:5.0%Matures:10/01/2050,Municipal Security,Purchase,12/04/2024,"$250,001 - $500,000"
Spouse,--,El Paso Texas Water & Sewer Revenue BondRate/Coupon:5.0%Matures:03/01/2046,Municipal Security,Sale (Full),11/21/2024,"$500,001 - $1,000,000"
Spouse,--,Arizona Board of Regents University of Arizona Sys Revenue BondRate/Coupon:5.0%Matures:06/01/2041,Municipal Security,Sale (Full),11/21/2024,"$250,001 - $500,000"
Spouse,--,Alabama Highway Finance Auth Revenue BondRate/Coupon:5.0%Matures:09/01/2026,Municipal Security,Sale (Full),11/21/2024,"$500,001 - $1,000,000"
Spouse,--,King County Washington Sch Dist G.O. BondRate/Coupon:4.0%Matures:12/01/2036,Municipal Security,Sale (Full),11/21/2024,"$250,001 - $500,000"
Spouse,--,Salt River Proj Agric & Impt Pwr Dist AZ Revenue BondRate/Coupon:5.0%Matures:12/01/2034,Municipal Security,Sale (Full),10/23/2024,"$500,001 - $1,000,000"
Spouse,--,San Antonio Texas Electric & Gas Revenue BondRate/Coupon:5.0%Matures:02/01/2035,Municipal Security,Sale (Full),10/24/2024,"$250,001 - $500,000"
Spouse,--,Port of Seattle Washington Revenue BondRate/Coupon:5.0%Matures:05/01/2026,Municipal Security,Sale (Full),10/09/2024,"$500,001 - $1,000,000"
Spouse,--,New Jersey St Educational Facs Auth Revenue BondRate/Coupon:5.0%Matures:07/01/2035,Municipal Security,Sale (Full),10/09/2024,"$250,001 - $500,000"
