Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,IRBT,iRobot Corporation - Common Stock,Stock,Sale (Full),02/06/2025,"$1,001 - $15,000"
Spouse,SOLV,Solventum Corporation,Stock,Sale (Full),02/06/2025,"$1,001 - $15,000"
Spouse,LLY,Eli Lilly and Company Common Stock,Stock,Sale (Full),02/10/2025,"$50,001 - $100,000"
Spouse,LLY,Eli Lilly and Company Common Stock,Stock,Purchase,01/22/2025,"$50,001 - $100,000"
Spouse,UPS,United Parcel Service; Inc. Common Stock,Stock,Sale (Full),03/27/2024,"$100,001 - $250,000"
Spouse,STX,Seagate Technology Holdings PLC - Ordinary Shares,Stock,Sale (Partial),11/11/2022,"$15,001 - $50,000"
Spouse,BALL,Ball Corporation Common Stock,Stock,Sale (Full),11/11/2022,"$15,001 - $50,000"
Spouse,COUP,Coupa Software Incorporated - Common Stock,Stock,Sale (Full),11/11/2022,"$15,001 - $50,000"
Spouse,DIS,Walt Disney Company (The) Common Stock,Stock,Sale (Partial),11/11/2022,"$50,001 - $100,000"
Spouse,META,Meta Platforms; Inc. - Class A Common Stock,Stock,Sale (Full),11/11/2022,"$50,001 - $100,000"
Spouse,FDX,FedEx Corporation Common Stock,Stock,Sale (Full),11/11/2022,"$50,001 - $100,000"
Spouse,IRBT,iRobot Corporation - Common Stock,Stock,Sale (Partial),11/11/2022,"$15,001 - $50,000"
Spouse,--,JTKWY - Just Eat Takeaway.com NV - ADR,Stock,Sale (Full),11/11/2022,"$1,001 - $15,000"
Spouse,MTCH,Match Group; Inc. - Common Stock,Stock,Sale (Full),11/11/2022,"$15,001 - $50,000"
Spouse,NFLX,Netflix; Inc. - Common Stock,Stock,Sale (Full),11/11/2022,"$50,001 - $100,000"
Spouse,PYPL,PayPal Holdings; Inc. - Common Stock,Stock,Sale (Full),11/11/2022,"$100,001 - $250,000"
Spouse,SQ,Block; Inc. Class A Common Stock;,Stock,Sale (Full),11/11/2022,"$15,001 - $50,000"
Spouse,MMM,3M Company Common Stock,Stock,Sale (Partial),11/11/2022,"$1,001 - $15,000"
Spouse,WDAY,Workday; Inc. - Class A Common Stock,Stock,Sale (Full),11/11/2022,"$1,001 - $15,000"
