Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,--,WATERVILLE N Y CENT SCH DIST SCH DIST BDS 2006,,Purchase,01/03/2014,"$15,001 - $50,000"
Spouse,--,SCHENECTADY CNTY N Y VAR PURP BDS 2013,,Purchase,01/03/2014,"$50,001 - $100,000"
Spouse,--,PORT AUTH N Y & N J CONSOLIDATED BDS 179,,Purchase,01/03/2014,"$50,001 - $100,000"
Spouse,--,NEW YORK ST LOC GOVT ASSISTANCE CORP REF BDS 1993E,,Purchase,01/03/2014,"$50,001 - $100,000"
Spouse,--,NEW YORK N Y CITY TRANSITIONAL FIN AUTH FUTURE TAX SECURED SUB BDS 2007B,,Purchase,01/03/2014,"$15,001 - $50,000"
Spouse,--,NASSAU CNTY N Y SWR & STORM WTR FIN AUT REV BDS 2008A,,Purchase,01/03/2014,"$15,001 - $50,000"
Spouse,--,ERIE CNTY NY INDL DEV AGY SCH FAC REV REV BDS CITY SCH DIST OF BUFFALO 2008A,,Purchase,01/03/2014,"$15,001 - $50,000"
Spouse,--,new york st dorm auth lease bond fund,,Purchase,08/07/2013,"$100,001 - $250,000"
Spouse,--,triborough brdg & Tunl auth ny rev bond,,Purchase,09/30/2013,"$15,001 - $50,000"
Spouse,--,brookhaven NY ref bonds,,Purchase,09/30/2013,"$50,001 - $100,000"
