Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,--,The Kraft Heinz Company - Common StockOption Type: NeitherStrike price:$38.63Expires:02/23/23,Stock Option,Sale (Full),12/23/2022,"$1,001 - $15,000"
Spouse,--,PMI,Stock,Sale (Partial),11/24/2021,"$15,001 - $50,000"
Spouse,AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,Stock,Purchase,06/06/2022,"$50,001 - $100,000"
Spouse,--,KH,Stock,Sale (Full),06/06/2022,"$15,001 - $50,000"
Spouse,KHC,The Kraft Heinz Company - Common StockOption Type: NeitherStrike price:$32.54Expires:02/23/2022,Stock Option,Sale (Full),02/18/2022,"$15,001 - $50,000"
Spouse,NRDY,Nerdy Inc. Class A Common Stock,Stock,Purchase,09/27/2021,"$1,001 - $15,000"
Spouse,KHC,The Kraft Heinz CompanyOption Type: NeitherStrike price:$24.96Expires:02/23/2020,Stock Option,Sale (Partial),11/26/2019,"$1,001 - $15,000"
Spouse,MDLZ,Mondelez International; Inc.Option Type: NeitherStrike price:$24.87Expires:02/23/2022,Stock Option,Sale (Partial),12/02/2019,"$50,001 - $100,000"
Spouse,--,CSCO,Stock,Sale (Full),12/11/2015,"$1,001 - $15,000"
Spouse,--,PM,Stock,Sale (Full),12/04/2015,"$1,001 - $15,000"
Spouse,--,MDLZ (stock option)Option Type: NeitherStrike price:$24.86Expires:02/23/2022,Stock Option,Sale (Full),12/30/2015,"$50,001 - $100,000"
Spouse,MDLZ,Mondelez International; Inc. (NASDAQ),,Sale (Full),11/11/2014,"$50,001 - $100,000"
