Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,NVDA,Nvidia Corp,Stock,Sale (Partial),01/06/2025,"$15,001 - $50,000"
Self,LRCX,Lam Research Corp,Stock,Sale (Full),12/19/2024,"$15,001 - $50,000"
Self,AAPL,Apple Inc,Stock,Sale (Partial),12/19/2024,"$15,001 - $50,000"
Spouse,MET,Metlife Inc,Stock,Sale (Full),11/19/2024,"$1,001 - $15,000"
Spouse,--,RI HEALTH & EDL BLDG CORPRate/Coupon:4.00%Matures:09/15/2034,Municipal Security,Sale (Full),11/19/2024,"$15,001 - $50,000"
Self,KVUE,Kenvue Inc,Stock,Sale (Full),11/18/2024,"$1,001 - $15,000"
Self,KO,Coca-Cola Company,Stock,Purchase,10/08/2024,"$1,001 - $15,000"
Spouse,TSLA,Tesla Inc,Stock,Sale (Full),10/28/2024,"$100,001 - $250,000"
Self,CELH,Celsius Holdings Inc,Stock,Sale (Full),10/08/2024,"$1,001 - $15,000"
Spouse,SBUX,Starbucks Corp,Stock,Sale (Partial),10/29/2024,"$1,001 - $15,000"
Spouse,VZ,Verizon Communications Inc,Stock,Sale (Partial),10/29/2024,"$1,001 - $15,000"
Spouse,MA,Mastercard Inc,Stock,Sale (Partial),10/29/2024,"$1,001 - $15,000"
Spouse,DIS,Walt Disney Company,Stock,Sale (Full),10/29/2024,"$1,001 - $15,000"
Self,SBUX,Starbucks Corp,Stock,Sale (Partial),10/29/2024,"$1,001 - $15,000"
Self,VZ,Verizon Communications Inc,Stock,Sale (Partial),10/29/2024,"$1,001 - $15,000"
Self,HON,Honeywell International Inc,Stock,Sale (Partial),10/29/2024,"$1,001 - $15,000"
Self,MA,Mastercard Inc,Stock,Sale (Partial),10/29/2024,"$1,001 - $15,000"
Self,TSLA,Tesla Inc,Stock,Sale (Partial),10/11/2024,"$15,001 - $50,000"
Self,TSLA,Tesla Inc,Stock,Sale (Full),10/28/2024,"$15,001 - $50,000"
Self,LLY,Eli Lilly and Company,Stock,Purchase,10/30/2024,"$15,001 - $50,000"
Self,AMGN,Amgen Inc,Stock,Sale (Partial),09/17/2024,"$1,001 - $15,000"
Spouse,SNOW,Snowflake Inc Cl A,Stock,Sale (Full),08/15/2024,"$1,001 - $15,000"
Spouse,JNJ,Johnson & Johnson,Stock,Sale (Full),07/03/2024,"$15,001 - $50,000"
Spouse,CAG,Conagra Brands Inc,Stock,Sale (Full),07/30/2024,"$1,001 - $15,000"
Self,JNJ,Johnson & Johnson,Stock,Sale (Full),07/03/2024,"$15,001 - $50,000"
Self,MCD,McDonald's Corp,Stock,Sale (Full),07/03/2024,"$1,001 - $15,000"
Self,DIS,Walt Disney Company,Stock,Sale (Full),07/25/2024,"$1,001 - $15,000"
Self,CAG,Conagra Brands Inc,Stock,Sale (Full),07/30/2024,"$1,001 - $15,000"
Self,GS,Goldman Sachs Group; Inc. (The) Common Stock,Stock,Purchase,06/27/2024,"$1,001 - $15,000"
Self,HD,Home Depot,Stock,Purchase,06/13/2024,"$1,001 - $15,000"
Self,MSFT,Microsoft Corp,Stock,Purchase,06/13/2024,"$1,001 - $15,000"
Self,CCI,Crown Castle Inc,Stock,Purchase,05/10/2024,"$1,001 - $15,000"
Self,DEO,Diageo Plc ADR,Stock,Sale (Full),05/08/2024,"$15,001 - $50,000"
Spouse,--,JP MORGAN CHASE & CORate/Coupon:6.12%Matures:02/12/2056,Corporate Bond,Sale (Full),04/30/2024,"$1,001 - $15,000"
Spouse,RTX,RTX Corporation Common Stock,Stock,Sale (Full),04/09/2024,"$15,001 - $50,000"
Spouse,DHR,Danaher Corp,Stock,Sale (Full),04/09/2024,"$15,001 - $50,000"
Spouse,UL,Unilever Plc ADR,Stock,Sale (Full),04/09/2024,"$1,001 - $15,000"
Spouse,IR,Ingersoll Rand Inc,Stock,Sale (Full),04/09/2024,"$1,001 - $15,000"
Self,NVS,Novartis Ag ADR,Stock,Sale (Partial),04/09/2024,"$1,001 - $15,000"
Self,UL,Unilever Plc ADR,Stock,Sale (Full),03/22/2024,"$1,001 - $15,000"
Self,CMCSA,Comcast Corp A,Stock,Sale (Full),03/13/2024,"$15,001 - $50,000"
Spouse,SNOW,Snowflake Inc Cl A,Stock,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,LLY,Eli Lilly and Company,Stock,Purchase,12/14/2023,"$1,001 - $15,000"
Self,TGT,Target Corp,Stock,Sale (Full),12/07/2023,"$15,001 - $50,000"
Self,KO,Coca-Cola Company,Stock,Purchase,12/07/2023,"$1,001 - $15,000"
Self,PFE,Pfizer Inc,Stock,Sale (Full),12/11/2023,"$1,001 - $15,000"
Self,CELH,Celsius Holdings Inc,Stock,Purchase,11/08/2023,"$1,001 - $15,000"
Spouse,VLTO,Veralto Corporation,Stock,Sale (Full),11/29/2023,"$1,001 - $15,000"
Self,VLTO,Veralto Corporation,Stock,Sale (Full),11/29/2023,"$1,001 - $15,000"
Self,KMB,Kimberly-Clark Corp,Stock,Sale (Full),11/16/2023,"$50,001 - $100,000"
Self,VLTO,Veralto Corporation,Stock,Sale (Full),11/29/2023,"$1,001 - $15,000"
Spouse,C,Citigroup Inc,Stock,Sale (Full),09/20/2023,"$1,001 - $15,000"
Spouse,PYPL,Paypal Holdings,Stock,Sale (Full),09/20/2023,"$1,001 - $15,000"
Spouse,T,AT&T Inc,Stock,Sale (Full),09/20/2023,"$1,001 - $15,000"
