Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,GOOGL,Alphabet Cl A,Stock,Purchase,04/29/2025,"$1,001 - $15,000"
Spouse,TGT,Target Corp,Stock,Sale (Full),04/11/2025,"$1,001 - $15,000"
Spouse,NKE,Nike Inc,Stock,Sale (Full),04/10/2025,"$1,001 - $15,000"
Spouse,META,Meta Platforms Inc,Stock,Purchase,03/26/2025,"$1,001 - $15,000"
Spouse,CEG,Constellation Energy Corp,Stock,Purchase,03/26/2025,"$1,001 - $15,000"
Spouse,--,Meta Platforms Inc,Stock,Purchase,02/25/2025,"$1,001 - $15,000"
Spouse,CMCSA,Comcast Corp A,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Spouse,ACN,Accenture Plc,Stock,Sale (Partial),02/24/2025,"$1,001 - $15,000"
Spouse,ABT,Abbott Laboratories,Stock,Sale (Partial),02/24/2025,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc,Stock,Sale (Partial),02/05/2025,"$1,001 - $15,000"
Spouse,CEG,Constellation Energy Corp,Stock,Purchase,02/04/2025,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corp,Stock,Sale (Partial),02/04/2025,"$1,001 - $15,000"
Spouse,--,Analog Devices,Stock,Sale (Partial),01/13/2025,"$1,001 - $15,000"
Spouse,PSX,Phillips 66,Stock,Sale (Partial),01/17/2025,"$1,001 - $15,000"
Spouse,JPM,JP Morgan Chase & Company,Stock,Sale (Partial),01/17/2025,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corp,Stock,Sale (Partial),01/17/2025,"$1,001 - $15,000"
Spouse,LOW,Lowe's Companies,Stock,Sale (Partial),01/17/2025,"$1,001 - $15,000"
Spouse,ITW,Illinois Tool Works Inc,Stock,Sale (Partial),01/17/2025,"$1,001 - $15,000"
Spouse,GWW,W.W. Grainger,Stock,Sale (Partial),01/17/2025,"$1,001 - $15,000"
Spouse,CB,Chubb Ltd,Stock,Sale (Partial),01/17/2025,"$1,001 - $15,000"
Spouse,BLK,Blackrock Inc,Stock,Sale (Partial),01/17/2025,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc,Stock,Sale (Partial),01/17/2025,"$1,001 - $15,000"
Spouse,AFL,Aflac Inc,Stock,Sale (Partial),01/17/2025,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corp,Stock,Sale (Partial),01/03/2025,"$1,001 - $15,000"
Spouse,GE,GE Aerospace,Stock,Purchase,12/27/2024,"$1,001 - $15,000"
Spouse,UNH,Unitedhealth Group Inc,Stock,Sale (Partial),12/20/2024,"$1,001 - $15,000"
Spouse,LOW,Lowe's Companies,Stock,Sale (Partial),12/13/2024,"$1,001 - $15,000"
Spouse,AVGO,Broadcom Inc. - Common Stock,Stock,Purchase,12/12/2024,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corp,Stock,Sale (Partial),12/16/2024,"$1,001 - $15,000"
Spouse,CSL,Carlisle Companies Inc,Stock,Purchase,10/08/2024,"$1,001 - $15,000"
Spouse,NSC,Norfolk Southern Corp,Stock,Sale (Full),09/25/2024,"$1,001 - $15,000"
Spouse,NKE,Nike Inc,Stock,Sale (Partial),09/20/2024,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corp,Stock,Sale (Partial),09/20/2024,"$1,001 - $15,000"
Spouse,GWW,W.W. Grainger,Stock,Sale (Partial),09/20/2024,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc,Stock,Sale (Partial),09/20/2024,"$1,001 - $15,000"
Spouse,ACN,Accenture Plc,Stock,Sale (Partial),09/20/2024,"$1,001 - $15,000"
Spouse,NKE,Nike Inc,Stock,Purchase,08/28/2024,"$1,001 - $15,000"
Spouse,AVGO,Broadcom Inc. - Common Stock,Stock,Purchase,08/27/2024,"$1,001 - $15,000"
Spouse,NSC,Norfolk Southern Corp,Stock,Sale (Partial),08/22/2024,"$1,001 - $15,000"
Spouse,AVGO,Broadcom Ltd,Stock,Purchase,07/01/2024,"$1,001 - $15,000"
Spouse,PEP,Pepsico Inc,Stock,Sale (Partial),07/25/2024,"$1,001 - $15,000"
Spouse,LOW,Lowe's Companies,Stock,Sale (Partial),07/25/2024,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corp,Stock,Sale (Partial),07/17/2024,"$1,001 - $15,000"
Spouse,XOM,Exxon Mobil Corp,Stock,Sale (Partial),07/17/2024,"$1,001 - $15,000"
Spouse,C,Citigroup Inc,Stock,Sale (Partial),07/17/2024,"$1,001 - $15,000"
Spouse,APD,Air Products and Chemicals,Stock,Sale (Full),06/27/2024,"$1,001 - $15,000"
Spouse,JPM,JP Morgan Chase & Company,Stock,Sale (Partial),04/23/2024,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corp,Stock,Sale (Partial),04/23/2024,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc,Stock,Sale (Partial),04/23/2024,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corp,Stock,Sale (Partial),04/09/2024,"$1,001 - $15,000"
Spouse,GWW,W.W. Grainger,Stock,Sale (Partial),04/09/2024,"$1,001 - $15,000"
Spouse,SPGI,S&P Global Inc,Stock,Sale (Partial),04/09/2024,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc,Stock,Sale (Partial),04/09/2024,"$1,001 - $15,000"
Spouse,ZTS,Zoetis Inc Cl A,Stock,Purchase,02/27/2024,"$15,001 - $50,000"
Spouse,SBUX,Starbucks Corp,Stock,Purchase,02/23/2024,"$15,001 - $50,000"
Spouse,BDX,Becton Dickinson and Company,Stock,Sale (Full),02/15/2024,"$1,001 - $15,000"
Spouse,MDT,Medtronic Inc,Stock,Sale (Full),02/09/2024,"$1,001 - $15,000"
Spouse,ES,Eversource Energy,Stock,Sale (Full),01/19/2024,"$1,001 - $15,000"
Self,ENB,Enbridge Inc,Stock,Sale (Full),01/19/2024,"$1,001 - $15,000"
Spouse,JPM,JP Morgan Chase & Company,Stock,Sale (Partial),12/19/2023,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corp,Stock,Sale (Partial),12/19/2023,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc,Stock,Sale (Partial),12/19/2023,"$1,001 - $15,000"
Spouse,ADI,Analog Devices,Stock,Sale (Partial),12/19/2023,"$1,001 - $15,000"
Spouse,ACN,Accenture Plc,Stock,Sale (Partial),12/19/2023,"$1,001 - $15,000"
Spouse,SPGI,S&P Global Inc,Stock,Purchase,12/01/2023,"$1,001 - $15,000"
Spouse,CMCSA,Comcast Corp A,Stock,Purchase,12/01/2023,"$1,001 - $15,000"
Spouse,CSCO,Cisco Systems Inc,Stock,Purchase,12/01/2023,"$1,001 - $15,000"
Spouse,CVX,Chevron Corp,Stock,Purchase,12/01/2023,"$1,001 - $15,000"
Self,TFC,Truist Financial Corp,Stock,Sale (Partial),12/29/2023,"$15,001 - $50,000"
Spouse,PFE,Pfizer Inc,Stock,Sale (Partial),12/18/2023,"$1,001 - $15,000"
