Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,GL,Globe Life Inc,Stock,Sale (Full),08/05/2024,"$15,001 - $50,000"
Spouse,--,ME St Health & Higher Ed 56042RXW7Rate/Coupon:5.000%Matures:07/01/2030,Municipal Security,Purchase,08/21/2024,"$50,001 - $100,000"
Spouse,--,Wells Fargo & Co 95001DGW4Rate/Coupon:5.450%Matures:08/08/2034,Corporate Bond,Purchase,08/06/2024,"$15,001 - $50,000"
Spouse,--,ME St Muni Bond Bank 56045RYX1Rate/Coupon:5.000%Matures:11/01/2031,Municipal Security,Purchase,08/05/2024,"$15,001 - $50,000"
Spouse,--,Thermo Fisher Scientific Inc 883556CU4Rate/Coupon:4.950%Matures:11/21/2032,Corporate Bond,Purchase,07/17/2024,"$15,001 - $50,000"
Spouse,--,FIS - Fidelity National Information Services 31620MBW5Rate/Coupon:4.700%Matures:07/15/2027,Corporate Bond,Purchase,06/05/2024,"$15,001 - $50,000"
Spouse,AKAM,Akamai Technologies; Inc. - Common Stock,Stock,Sale (Full),12/20/2022,"$15,001 - $50,000"
Spouse,--,York ME 987092HX4Rate/Coupon:3.000%Matures:07/01/2026,Municipal Security,Purchase,12/13/2022,"$50,001 - $100,000"
Spouse,--,Biogen Inc 09062XAF0Rate/Coupon:4.050%Matures:09/15/2025,Corporate Bond,Purchase,11/03/2022,"$15,001 - $50,000"
Spouse,--,Parker-Hannifin Corp 701094AQ7Rate/Coupon:3.650%Matures:06/15/2024,Corporate Bond,Purchase,08/10/2022,"$15,001 - $50,000"
Spouse,--,Portland ME 736560TV5Rate/Coupon:5.000%Matures:05/01/2025,Municipal Security,Purchase,04/21/2022,"$50,001 - $100,000"
Spouse,--,Paypal Holdings Inc 70450YAC7Rate/Coupon:2.400%Matures:10/01/2024,Corporate Bond,Purchase,02/08/2022,"$50,001 - $100,000"
Spouse,UL,Unilever PLC Common Stock,Stock,Sale (Full),01/21/2022,"$15,001 - $50,000"
Spouse,WEX,WEX Inc. common stock,Stock,Sale (Full),01/06/2022,"$15,001 - $50,000"
Spouse,VFC,V.F. Corporation Common Stock,Stock,Sale (Full),01/06/2022,"$1,001 - $15,000"
Spouse,OTIS,Otis Worldwide Corporation Common Stock,Stock,Sale (Full),01/06/2022,"$1,001 - $15,000"
Spouse,HSIC,Henry Schein; Inc. - Common Stock,Stock,Sale (Full),01/06/2022,"$15,001 - $50,000"
Spouse,CARR,Carrier Global Corporation Common Stock,Stock,Sale (Full),01/06/2022,"$1,001 - $15,000"
Spouse,MMM,3M Company Common Stock,Stock,Sale (Full),01/06/2022,"$15,001 - $50,000"
Spouse,HSY,The Hershey Company Common Stock,Stock,Purchase,01/21/2022,"$15,001 - $50,000"
Spouse,NVDA,NVIDIA Corporation - Common Stock,Stock,Purchase,01/06/2022,"$15,001 - $50,000"
Spouse,LIN,Linde plc Ordinary Share,Stock,Purchase,01/06/2022,"$15,001 - $50,000"
Spouse,AMZN,Amazon.com; Inc. - Common Stock,Stock,Purchase,01/06/2022,"$15,001 - $50,000"
Spouse,--,Federal Home Loan Bank 3130AQAT0Rate/Coupon:1.280%Matures:12/29/2025,Corporate Bond,Purchase,12/07/2021,"$15,001 - $50,000"
Spouse,--,ME St Housing Auth (Social Bds) Ser D 56052FWH4Rate/Coupon:1.375%Matures:11/15/2028,Municipal Security,Purchase,11/10/2021,"$50,001 - $100,000"
Spouse,--,Scarborough ME 806075S57Rate/Coupon:2.000%Matures:11/01/2026,Municipal Security,Purchase,08/17/2021,"$50,001 - $100,000"
Spouse,--,ME St Housing Auth 56052FVT9Rate/Coupon:1.200%Matures:11/15/2028,Municipal Security,Purchase,07/16/2021,"$15,001 - $50,000"
Spouse,--,Maine St 56052AE93Rate/Coupon:1.000%Matures:06/01/2024,Municipal Security,Purchase,06/09/2021,"$50,001 - $100,000"
Spouse,--,ME St Muni Bond Bank 56045RWK1Rate/Coupon:2.625%Matures:09/01/2028,Municipal Security,Purchase,04/29/2021,"$15,001 - $50,000"
Spouse,--,ME St Health & Higher Ed 560427VR4Rate/Coupon:3.000%Matures:07/01/2023,Municipal Security,Purchase,04/29/2021,"$50,001 - $100,000"
Spouse,--,Fed Farm Credit Bk 3133EMUU4Rate/Coupon:0.120%Matures:11/29/2022,Corporate Bond,Purchase,03/31/2021,"$100,001 - $250,000"
Spouse,--,ME St Govt Facs Auth 56041MPT5Rate/Coupon:2.000%Matures:10/01/2023,Municipal Security,Purchase,03/16/2021,"$50,001 - $100,000"
Spouse,--,LII - Lennox International Inc. 526107AF4Rate/Coupon:1.700%Matures:08/01/27,Corporate Bond,Purchase,02/11/2021,"$50,001 - $100,000"
Spouse,--,CTXS - Citrix Systems; Inc. 177376AG5Rate/Coupon:1.250%Matures:03/01/26,Corporate Bond,Purchase,02/09/2021,"$15,001 - $50,000"
Spouse,DNKN,Dunkin' Brands Group; Inc.,Stock,Sale (Full),12/16/2020,"$50,001 - $100,000"
Spouse,--,Federal Farm Credit Bank 3133EMBH4Rate/Coupon:0.530%Matures:09/29/2025,Corporate Bond,Purchase,10/08/2020,"$15,001 - $50,000"
Spouse,--,Federal Farm Credit Bank 3133EL7F5Rate/Coupon:0.180%Matures:09/15/2022,Corporate Bond,Purchase,09/08/2020,"$15,001 - $50,000"
Spouse,--,Federal Farm Credit Bk 3133EGU94Rate/Coupon:2.300%Matures:12/14/2022,Corporate Bond,Sale (Full),09/19/2019,"$15,001 - $50,000"
Spouse,--,Federal Farm Credit Bk 3133EKQ90Rate/Coupon:2.000%Matures:09/23/2022,Corporate Bond,Purchase,09/18/2019,"$15,001 - $50,000"
Spouse,--,Portland ME Arpt Rev Green Bd 736564DZ5Rate/Coupon:4.000%Matures:01/01/2024,Municipal Security,Purchase,11/20/2019,"$15,001 - $50,000"
Spouse,--,Waterville ME 942231QM6Rate/Coupon:2.125%Matures:04/01/2024,Municipal Security,Purchase,11/19/2019,"$15,001 - $50,000"
Spouse,CVET,Covetrus; Inc.,Stock,Sale (Full),08/15/2019,"$1,001 - $15,000"
Spouse,AKAM,Akamai Technologies; Inc.,Stock,Purchase,08/20/2019,"$15,001 - $50,000"
Spouse,RHT,Red Hat; Inc.,Stock,Sale (Full),05/17/2019,"$50,001 - $100,000"
Spouse,WEX,WEX Inc.,Stock,Purchase,05/21/2019,"$15,001 - $50,000"
Spouse,--,Maine St Housing Auth 56052FKZ7Rate/Coupon:2.400%Matures:11/15/2023,Municipal Security,Purchase,05/31/2018,"$15,001 - $50,000"
Spouse,LIN,Linde plc,Stock,Sale (Full),12/21/2018,"$15,001 - $50,000"
Spouse,FB,Facebook; Inc.,Stock,Sale (Full),12/21/2018,"$1,001 - $15,000"
Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Full),12/21/2018,"$1,001 - $15,000"
Spouse,ENB,Enbridge Inc.,Stock,Sale (Full),12/21/2018,"$15,001 - $50,000"
Spouse,CFR,Cullen/Frost Bankers; Inc.,Stock,Sale (Full),12/21/2018,"$1,001 - $15,000"
Spouse,STZ,Constellation Brands; Inc.,Stock,Sale (Full),12/21/2018,"$15,001 - $50,000"
Spouse,NEE,NextEra Energy; Inc.,Stock,Purchase,12/21/2018,"$15,001 - $50,000"
Spouse,AON,Aon plc,Stock,Sale (Partial),10/31/2018,"$1,001 - $15,000"
Spouse,SBUX,Starbucks Corporation,Stock,Sale (Full),10/02/2018,"$15,001 - $50,000"
Spouse,PX,Praxair; Inc. (Exchanged)Linde plc (Received),Stock,Exchange,10/31/2018,"$1,001 - $15,000"
Spouse,HON,Honeywell International Inc.,Stock,Sale (Full),10/16/2018,"$15,001 - $50,000"
Spouse,TJX,The TJX Companies; Inc.,Stock,Purchase,10/16/2018,"$1,001 - $15,000"
Spouse,AMZN,Amazon.com; Inc.,Stock,Purchase,10/02/2018,"$15,001 - $50,000"
Spouse,--,Maine Health and Higher EDL FACS 5604276F8Rate/Coupon:5.250%Matures:07/01/2022,Municipal Security,Purchase,08/17/2018,"$15,001 - $50,000"
Spouse,NSRGY,Nestlé S.A.,Stock,Sale (Full),06/04/2018,"$1,001 - $15,000"
Spouse,UNH,UnitedHealth Group Incorporated,Stock,Purchase,06/04/2018,"$1,001 - $15,000"
Spouse,SLB,Schlumberger Limited,Stock,Sale (Full),06/04/2018,"$1,001 - $15,000"
Spouse,PFE,Pfizer Inc.,Stock,Sale (Full),06/04/2018,"$1,001 - $15,000"
Spouse,PEP,PepsiCo; Inc.,Stock,Sale (Partial),06/18/2018,"$1,001 - $15,000"
Spouse,NSRGY,Nestlé S.A.,Stock,Sale (Full),06/18/2018,"$1,001 - $15,000"
Spouse,CMCSA,Comcast Corporation,Stock,Sale (Full),06/04/2018,"$1,001 - $15,000"
Spouse,UNH,UnitedHealth Group Incorporated,Stock,Purchase,06/04/2018,"$1,001 - $15,000"
Spouse,TMO,Thermo Fisher Scientific Inc.,Stock,Purchase,06/04/2018,"$1,001 - $15,000"
Spouse,MRK,Merck & Co.; Inc.,Stock,Purchase,06/04/2018,"$1,001 - $15,000"
Spouse,STZ,Constellation Brands; Inc.,Stock,Purchase,06/18/2018,"$15,001 - $50,000"
