Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Joint,BBL,BHP Billiton plc,Stock,Purchase,12/21/2017,"$1,001 - $15,000"
Joint,GS,The Goldman Sachs Group; Inc.,Stock,Sale (Full),11/30/2017,"$1,001 - $15,000"
Joint,SOUHY,South32 Limited,Stock,Sale (Full),11/01/2017,"$1,001 - $15,000"
Joint,DWDP,DowDuPont Inc.,Stock,Sale (Full),10/23/2017,"$1,001 - $15,000"
Joint,ABT,Abbott Laboratories,Stock,Sale (Full),10/18/2017,"$1,001 - $15,000"
Joint,JNJ,Johnson & Johnson,Stock,Sale (Full),10/17/2017,"$1,001 - $15,000"
Joint,CC,CC - The Chemours Company,Stock,Sale (Full),10/10/2017,"$1,001 - $15,000"
Joint,INTC,Intel Corporation,Stock,Sale (Full),09/15/2017,"$1,001 - $15,000"
Joint,DVMT,Dell Technologies Inc.,Stock,Sale (Full),08/23/2017,"$1,001 - $15,000"
Self,MCD,McDonald's Corporation,Stock,Sale (Full),06/20/2017,"$1,001 - $15,000"
Joint,NEE,NEE-NextEra Energy; Inc.,Stock,Sale (Full),06/16/2017,"$15,001 - $50,000"
Joint,CAT,Caterpillar Inc.,Stock,Sale (Full),06/05/2017,"$1,001 - $15,000"
Joint,GME,GameStop Corp.,Stock,Sale (Full),05/10/2017,"$1,001 - $15,000"
Joint,CAT,Caterpillar Inc.,Stock,Sale (Full),05/10/2017,"$1,001 - $15,000"
Joint,POT,Potash Corporation of Saskatchewan Inc.,Stock,Sale (Full),05/09/2017,"$1,001 - $15,000"
