Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Joint,TSCO,Tractor Supply Company,Stock,Sale (Full),01/10/2025,"$15,001 - $50,000"
Joint,CARR,Carrier Global Corp,Stock,Sale (Full),01/10/2025,"$1,001 - $15,000"
Joint,TXN,Texas Instruments Incorporated - Common Stock,Stock,Sale (Full),01/10/2025,"$15,001 - $50,000"
Joint,DEO,Diageo Plc ADR,Stock,Sale (Full),01/10/2025,"$15,001 - $50,000"
Joint,MSFT,Microsoft Corp,Stock,Sale (Full),01/10/2025,"$15,001 - $50,000"
Joint,AAPL,Apple Inc,Stock,Sale (Full),01/10/2025,"$15,001 - $50,000"
Joint,ADBE,Adobe Inc. - Common Stock,Stock,Sale (Full),10/29/2024,"$15,001 - $50,000"
Joint,AAPL,Apple Inc. - Common Stock,Stock,Sale (Full),10/29/2024,"$15,001 - $50,000"
Joint,CTVA,Corteva; Inc. Common Stock,Stock,Sale (Full),10/29/2024,"$1,001 - $15,000"
Joint,HON,Honeywell International Inc. - Common Stock,Stock,Sale (Full),10/29/2024,"$15,001 - $50,000"
Joint,JNJ,Johnson & Johnson Common Stock,Stock,Sale (Full),10/29/2024,"$15,001 - $50,000"
Joint,KMB,Kimberly-Clark Corporation Common Stock,Stock,Sale (Full),10/29/2024,"$15,001 - $50,000"
Joint,MCD,McDonald's Corporation Common Stock,Stock,Sale (Full),10/29/2024,"$15,001 - $50,000"
Joint,MSFT,Microsoft Corporation - Common Stock,Stock,Sale (Full),10/29/2024,"$15,001 - $50,000"
Joint,--,Nestle ADR,Stock,Sale (Full),10/29/2024,"$15,001 - $50,000"
Joint,--,Otis Worldwide Corporation Common Stock,Stock,Sale (Full),10/29/2024,"$1,001 - $15,000"
Joint,OC,Owens Corning Inc Common Stock New,Stock,Sale (Full),10/29/2024,"$15,001 - $50,000"
Joint,TRV,The Travelers Companies; Inc. Common Stock,Stock,Sale (Full),10/29/2024,"$15,001 - $50,000"
Self,AAPL,Apple Inc. - Common Stock,Stock,Sale (Full),08/26/2024,"$15,001 - $50,000"
Joint,MDT,Medtronic plc. Ordinary Shares,Stock,Sale (Full),08/26/2024,"$15,001 - $50,000"
Joint,CVS,CVS Health Corporation Common Stock,Stock,Sale (Full),08/26/2024,"$1,001 - $15,000"
Joint,UPS,United Parcel Service; Inc. Common Stock,Stock,Sale (Full),08/26/2024,"$15,001 - $50,000"
Self,EIBLX,Eaton Vance Floating Rate Fund Insti ShareCompany:EATON VANCE FLOATING RATE CLASS I,Other Securities,Sale (Full),08/26/2024,"$50,001 - $100,000"
Self,ABNFX,The Bond Fd of America Class F-2 SharesCompany:AMERICAN BOND FUND OF AMERICA CL F2,Other Securities,Purchase,08/26/2024,"$50,001 - $100,000"
Joint,ARKK,Ark Innovation ETFOption Type: CallStrike price:$51.00Expires:12/20/2024,Stock Option,Purchase,05/07/2024,"$1,001 - $15,000"
Joint,ARKK,Ark Innovation ETFOption Type: PutStrike price:$45.00Expires:09/20/2024,Stock Option,Purchase,05/10/2024,"$1,001 - $15,000"
Joint,XBI,S&P Biotech SPDROption Type: CallStrike price:$100.00Expires:10/18/2024,Stock Option,Purchase,05/08/2024,"$1,001 - $15,000"
Joint,XBI,S&P Biotech SPDROption Type: PutStrike price:$90.00Expires:10/18/2024,Stock Option,Purchase,05/08/2024,"$1,001 - $15,000"
Joint,INTC,Intel Corp,Stock,Sale (Full),05/13/2024,"$100,001 - $250,000"
Joint,INTC,Intel Corp,Stock,Sale (Partial),05/13/2024,"$100,001 - $250,000"
Joint,CLF,Cleveland-Cliffs Inc,Stock,Sale (Full),05/13/2024,"$100,001 - $250,000"
Joint,CLF,Cleveland-Cliffs Inc,Stock,Sale (Partial),05/13/2024,"$100,001 - $250,000"
Joint,CLF,Cleveland-Cliffs IncOption Type: CallStrike price:$20.00Expires:07/19/2024,Stock Option,Purchase,05/10/2024,"$1,001 - $15,000"
Joint,CLF,Cleveland-Cliffs IncOption Type: CallStrike price:$20.00Expires:01/17/2025,Stock Option,Purchase,05/10/2024,"$1,001 - $15,000"
Joint,CLF,Cleveland-Cliffs IncOption Type: PutStrike price:$17.00Expires:01/17/2025,Stock Option,Purchase,05/10/2024,"$1,001 - $15,000"
