Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,KD,Kyndryl Holdings; Inc. Common Stock,Stock,Sale (Full),08/30/2022,"$1,001 - $15,000"
Joint,CVS,CVS Health Corporation,Stock,Sale (Full),12/20/2018,"$1,001 - $15,000"
Joint,AQFH,Aquesta Financial Holdings; Inc.,Stock,Sale (Full),02/03/2017,"$1,001 - $15,000"
Joint,AQFH,Aquesta Financial Holdings; Inc.,Stock,Sale (Partial),02/01/2017,"$15,001 - $50,000"
Joint,--,AQFH-Aquesta Financial Holdings; Inc.,Stock,Sale (Partial),01/26/2017,"$15,001 - $50,000"
Joint,JCOM,j2 Global; Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,WST,West Pharmaceutical Services; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,WAL,Western Alliance Bancorporation (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,WAGE,WageWorks; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,VSI,Vitamin Shoppe; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,TYPE,Monotype Imaging Holdings Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,TXRH,Texas Roadhouse; Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,TUMI,Tumi Holdings; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,TTC,The Toro Company (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Spouse,TNGO,Tangoe; Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,THS,Treehouse Foods; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,THRM,Gentherm Incorporated (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,TECH,Bio-Techne Corp. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,TCBI,Texas Capital BancShares Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,SXT,Sensient Technologies Corporation (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,SWI,SolarWinds; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,SSB,South State Corporation (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,SQI,SciQuest; Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,SPSC,SPS Commerce; Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,SMTC,Semtech Corporation (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,SIGI,Selective Insurance Group Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,SHOO,Steven Madden; Ltd. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,SGY,Stone Energy Corp. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,RRTS,Roadrunner Transportation Systems; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,ROLL,RBC Bearings Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,RBA,Ritchie Bros. Auctioneers Incorporated (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,RAVN,Raven Industries Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,QLIK,Qlik Technologies; Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,PRLB,Proto Labs; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,PRIM,Primoris Services Corporation (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,PRAA,PRA Group; Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,PRA,ProAssurance Corporation (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,POWI,Power Integrations Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,PLT,Plantronics; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,PLKI,Popeyes Louisiana Kitchen; Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,PEB,Pebblebrook Hotel Trust (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,PBH,Prestige Brands Holdings; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,OMCL,Omnicell; Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,OFC,Corporate Office Properties Trust (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,NSR,NeuStar; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,NICE,NICE Systems Ltd. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,MNRO,Monro Muffler Brake Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,MG,Mistras Group; Inc. (NYSE),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,MFRM,Mattress Firm Holding Corp. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
Joint,MDCA,MDC Partners Inc. (NASDAQ),Stock,Sale (Full),02/13/2015,"$1,001 - $15,000"
