Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,PEP,PepsiCo; Inc. - Common Stock,Stock,Sale (Full),02/11/2025,"$100,001 - $250,000"
Spouse,GIS,General Mills; Inc. Common Stock,Stock,Sale (Full),02/11/2025,"$100,001 - $250,000"
Spouse,TCMD,Tactile Systems Technology Inc,Stock,Purchase,11/12/2024,"$50,001 - $100,000"
Spouse,PODD,Insulet Corporation - Common Stock,Stock,Sale (Partial),04/04/2024,"$50,001 - $100,000"
Spouse,NEE,Nextera Energy,Stock,Sale (Partial),04/04/2024,"$100,001 - $250,000"
Spouse,AORT,Artivion; Inc. Common Stock,Stock,Purchase,11/16/2023,"$50,001 - $100,000"
Spouse,TCMD,Tactile Systems Technology; Inc. - Common Stock,Stock,Purchase,11/08/2023,"$100,001 - $250,000"
Spouse,AORT,Artivion; Inc. Common Stock,Stock,Purchase,11/10/2023,"$50,001 - $100,000"
Spouse,CSII,Cardiovascular Systems; Inc. - Common Stock,Stock,Sale (Full),04/05/2023,"$50,001 - $100,000"
Spouse,MDT,Medtronic plc. Ordinary Shares,Stock,Sale (Full),04/05/2023,"$100,001 - $250,000"
Spouse,CSII,Cardiovascular Systems; Inc. - Common Stock,Stock,Sale (Full),04/05/2023,"$50,001 - $100,000"
Spouse,AORT,Artivion; Inc. Common Stock,Stock,Purchase,09/23/2022,"$50,001 - $100,000"
Spouse,TCF,TCF Financial Corporation - Common Stock (Exchanged)Huntington Bancshares Incorporated - Common Stock (Received),Stock,Exchange,06/09/2021,"$100,001 - $250,000"
Spouse,--,Northern Lakes Capital IV; LPCompany:Northern Lakes Capital IV; LP (Minneapolis; MN)Description:Private Equity,Other Securities,Purchase,04/04/2022,"$15,001 - $50,000"
Spouse,--,Surgical Information SciencesCompany:Surgical Information Sciences (Alpharetta; CA)Description:Health Management Systems,Non-Public Stock,Purchase,04/11/2021,"$1,001 - $15,000"
Spouse,--,Surgical Information SciencesCompany:Surgical Information Sciences (Alpharetta; CA)Description:Health Management Systems,Other Securities,Purchase,05/01/2020,"$15,001 - $50,000"
Spouse,DXCM,DexCom; Inc.,Stock,Sale (Partial),03/17/2020,"$250,001 - $500,000"
Spouse,PODD,Insulet Corporation,Stock,Sale (Partial),03/17/2020,"$250,001 - $500,000"
Spouse,--,Surgical Information SciencesCompany:Surgical Information Sciences (Alpharetta; CA)Description:Health Management Systems,Non-Public Stock,Purchase,10/16/2019,"$15,001 - $50,000"
Spouse,--,Surgical Information SciencesCompany:Surgical Information Sciences (Alpharetta; CA)Description:Health Management Systems,Non-Public Stock,Purchase,06/28/2018,"$15,001 - $50,000"
Joint,ABT,Abbott Laboratories,Stock,Sale (Full),04/09/2019,"$250,001 - $500,000"
Spouse,MSTY.PA,Mainstay Medical International plc,Stock,Purchase,10/30/2018,"$50,001 - $100,000"
Spouse,MSTY.PA,Mainstay Medical International plc,Stock,Purchase,10/29/2018,"$50,001 - $100,000"
Spouse,PODD,Insulet Corporation,Stock,Sale (Partial),08/30/2018,"$15,001 - $50,000"
Spouse,CUTR,Cutera; Inc.,Stock,Sale (Full),08/30/2018,"$100,001 - $250,000"
Spouse,CUTR,Cutera; Inc.,Stock,Sale (Full),08/30/2018,"$1,001 - $15,000"
Joint,PODD,Insulet Corporation,Stock,Sale (Full),08/30/2018,"$250,001 - $500,000"
Spouse,IIN,IntriCon Corporation,Stock,Sale (Partial),07/26/2018,"$100,001 - $250,000"
Spouse,TCMD,Tactile Systems Technology; Inc.,Stock,Sale (Partial),06/01/2018,"$100,001 - $250,000"
Spouse,TCMD,Tactile Systems Technology; Inc.,Stock,Sale (Full),06/01/2018,"$100,001 - $250,000"
Spouse,PODD,Insulet Corporation,Stock,Sale (Partial),06/01/2018,"$100,001 - $250,000"
Spouse,CGNT,Cogentix Medical; Inc.,Stock,Sale (Partial),04/12/2018,"$15,001 - $50,000"
Spouse,CGNT,Cogentix Medical; Inc.,Stock,Sale (Full),04/12/2018,"$100,001 - $250,000"
Spouse,CGNT,Cogentix Medical; Inc.,Stock,Sale (Partial),04/10/2018,"$15,001 - $50,000"
Spouse,CGNT,Cogentix Medical; Inc.,Stock,Sale (Partial),03/29/2018,"$1,001 - $15,000"
Joint,PODD,Insulet Corporation,Stock,Sale (Partial),03/02/2018,"$100,001 - $250,000"
Spouse,CUTR,Cutera; Inc.,Stock,Sale (Partial),01/16/2018,"$250,001 - $500,000"
Joint,ENTL,Entellus Medical; Inc.,Stock,Sale (Full),01/05/2018,"$50,001 - $100,000"
