Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,WMT,Walmart Inc.,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,UPS,United Parcel Service; Inc.,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,SBUX,Starbucks Corporation,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,PLD,Prologis; Inc.,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,PG,The Procter & Gamble Company,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,JPM,JPMorgan Chase & Co.,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corporation,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,MDT,Medtronic plc,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,LOW,Lowe's Companies; Inc.,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,IBM,International Business Machines Corporation,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,DOW,Dow Inc.,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,DIS,The Walt Disney Company,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,CMCSA,Comcast Corporation,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,CSCO,Cisco Systems; Inc.,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,CVS,CVS Health Corporation,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,BLK,BlackRock; Inc.,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc.,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,AMGN,Amgen Inc.,Stock,Sale (Full),11/05/2020,"$1,001 - $15,000"
Spouse,NVS,Novartis AG,Stock,Sale (Full),04/05/2019,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),09/11/2020,"$1,001 - $15,000"
Spouse,SBUX,Starbucks Corporation,Stock,Sale (Partial),08/19/2020,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corporation,Stock,Sale (Partial),08/19/2020,"$1,001 - $15,000"
Spouse,LOW,Lowe's Companies; Inc.,Stock,Sale (Partial),08/19/2020,"$1,001 - $15,000"
Spouse,IBM,International Business Machines Corporation,Stock,Sale (Partial),08/19/2020,"$1,001 - $15,000"
Spouse,DIS,The Walt Disney Company,Stock,Sale (Partial),08/19/2020,"$1,001 - $15,000"
Spouse,CMCSA,Comcast Corporation,Stock,Sale (Partial),08/19/2020,"$1,001 - $15,000"
Spouse,CSCO,Cisco Systems; Inc.,Stock,Sale (Partial),08/19/2020,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),08/19/2020,"$1,001 - $15,000"
Spouse,TROW,T. Rowe Price Group; Inc.,Stock,Sale (Full),07/15/2020,"$1,001 - $15,000"
Spouse,PLD,Prologis; Inc.,Stock,Purchase,07/15/2020,"$1,001 - $15,000"
Spouse,WMT,Walmart Inc.,Stock,Sale (Partial),03/09/2020,"$1,001 - $15,000"
Spouse,TROW,T. Rowe Price Group; Inc.,Stock,Sale (Partial),03/09/2020,"$1,001 - $15,000"
Spouse,PG,The Procter & Gamble Company,Stock,Sale (Partial),03/09/2020,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corporation,Stock,Sale (Partial),03/09/2020,"$1,001 - $15,000"
Spouse,MDT,Medtronic plc,Stock,Sale (Partial),03/09/2020,"$1,001 - $15,000"
Spouse,EMR,Emerson Electric Co.,Stock,Sale (Partial),03/09/2020,"$1,001 - $15,000"
Spouse,BLK,BlackRock; Inc.,Stock,Sale (Partial),03/09/2020,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),03/09/2020,"$1,001 - $15,000"
Spouse,AMGN,Amgen Inc.,Stock,Sale (Partial),03/09/2020,"$1,001 - $15,000"
Spouse,T,AT&T Inc.,Stock,Sale (Partial),03/09/2020,"$1,001 - $15,000"
Spouse,VFC,V.F. Corporation,Stock,Purchase,03/09/2020,"$1,001 - $15,000"
Spouse,PSX,Phillips 66,Stock,Purchase,03/09/2020,"$1,001 - $15,000"
Spouse,MMM,3M Company,Stock,Purchase,03/09/2020,"$1,001 - $15,000"
Spouse,JNJ,Johnson & Johnson,Stock,Purchase,03/09/2020,"$1,001 - $15,000"
Spouse,DOW,Dow Inc.,Stock,Purchase,03/09/2020,"$1,001 - $15,000"
Spouse,DD,DuPont de Nemours; Inc.,Stock,Sale (Full),08/01/2019,"$1,001 - $15,000"
Spouse,WMT,Walmart Inc.,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,SBUX,Starbucks Corporation,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,PG,The Procter & Gamble Company,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,NVS,Novartis AG,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,JPM,JPMorgan Chase & Co.,Stock,Purchase,12/07/2018,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corporation,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,MDT,Medtronic plc,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,FRT,Federal Realty Investment Trust,Stock,Sale (Full),12/07/2018,"$1,001 - $15,000"
Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,DIS,The Walt Disney Company,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,CMCSA,Comcast Corporation,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,CSCO,Cisco Systems; Inc.,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,CVS,CVS Health Corporation,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc.,Stock,Purchase,12/07/2018,"$1,001 - $15,000"
Spouse,AMGN,Amgen Inc.,Stock,Sale (Partial),12/07/2018,"$1,001 - $15,000"
Spouse,PPG,PPG Industries; Inc.,Stock,Sale (Full),01/25/2019,"$1,001 - $15,000"
Spouse,NVS,Novartis AG,Stock,Purchase,01/25/2019,"$1,001 - $15,000"
Spouse,MDT,Medtronic plc,Stock,Purchase,01/25/2019,"$1,001 - $15,000"
Spouse,XOM,Exxon Mobil Corporation,Stock,Purchase,01/25/2019,"$1,001 - $15,000"
Spouse,DWDP,DowDuPont Inc.,Stock,Purchase,01/25/2019,"$1,001 - $15,000"
Spouse,DIS,The Walt Disney Company,Stock,Purchase,01/25/2019,"$1,001 - $15,000"
Spouse,CMCSA,Comcast Corporation,Stock,Purchase,01/25/2019,"$1,001 - $15,000"
Spouse,CSCO,Cisco Systems; Inc.,Stock,Purchase,01/25/2019,"$1,001 - $15,000"
Spouse,CVS,CVS Health Corporation,Stock,Purchase,01/25/2019,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc.,Stock,Purchase,01/25/2019,"$1,001 - $15,000"
Spouse,TROW,T. Rowe Price Group; Inc.,Stock,Purchase,10/31/2016,"$1,001 - $15,000"
Spouse,DIS,The Walt Disney Company,Stock,Purchase,10/25/2017,"$1,001 - $15,000"
Spouse,CVS,CVS Health Corporation,Stock,Purchase,10/25/2017,"$1,001 - $15,000"
Spouse,T,AT&T Inc.,Stock,Purchase,10/25/2017,"$1,001 - $15,000"
Spouse,ABT,Abbott Laboratories,Stock,Sale (Partial),10/24/2017,"$1,001 - $15,000"
Spouse,MDT,Medtronic plc,Stock,Purchase,10/24/2017,"$1,001 - $15,000"
Spouse,TGT,Target Corporation,Stock,Sale (Full),10/17/2017,"$1,001 - $15,000"
Spouse,VFC,V.F. Corporation,Stock,Sale (Full),04/23/2018,"$1,001 - $15,000"
Spouse,UPS,United Parcel Service; Inc.,Stock,Purchase,04/23/2018,"$1,001 - $15,000"
Spouse,SBUX,Starbucks Corporation,Stock,Purchase,04/23/2018,"$1,001 - $15,000"
Spouse,PG,The Procter & Gamble Company,Stock,Purchase,04/23/2018,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corporation,Stock,Sale (Partial),04/23/2018,"$1,001 - $15,000"
Spouse,MDT,Medtronic plc,Stock,Sale (Partial),04/23/2018,"$1,001 - $15,000"
Spouse,LOW,Lowe's Companies; Inc.,Stock,Sale (Partial),04/23/2018,"$1,001 - $15,000"
Spouse,IBM,International Business Machines Corporation,Stock,Purchase,04/23/2018,"$1,001 - $15,000"
Spouse,GWW,W.W. Grainger; Inc.,Stock,Sale (Full),04/23/2018,"$1,001 - $15,000"
Spouse,XOM,Exxon Mobil Corporation,Stock,Purchase,04/25/2018,"$1,001 - $15,000"
Spouse,EMR,Emerson Electric Co.,Stock,Sale (Partial),04/23/2018,"$1,001 - $15,000"
Spouse,CMCSA,Comcast Corporation,Stock,Purchase,04/23/2018,"$1,001 - $15,000"
Spouse,CSCO,Cisco Systems; Inc.,Stock,Sale (Partial),04/23/2018,"$1,001 - $15,000"
Spouse,CVS,CVS Health Corporation,Stock,Purchase,04/23/2018,"$1,001 - $15,000"
