Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,AHL-C,Aspen Insurance Holdings Ltd [Ahl/Pc],Stock,Sale (Full),01/02/2025,"$15,001 - $50,000"
Self,EQC,Equity Commonwealth,Stock,Sale (Full),12/13/2024,"$1,001 - $15,000"
Child,--,CareBridgeCompany:RSV QOZB LTSS; Inc. (Nashville; TN)Description:Healthcare services technology and business.,Non-Public Stock,Sale (Full),12/10/2024,"$250,001 - $500,000"
Child,--,CareBridgeCompany:RSV QOZB LTSS; Inc. (Nashville; TN)Description:Healthcare services technology and business.,Non-Public Stock,Sale (Full),12/10/2024,"$250,001 - $500,000"
Child,--,CareBridgeCompany:RSV QOZB LTSS; Inc. (Nashville; TN)Description:Healthcare services technology and business.,Non-Public Stock,Sale (Full),12/10/2024,"$250,001 - $500,000"
Child,--,CareBridgeCompany:RSV QOZB LTSS; Inc. (Nashville; TN)Description:Healthcare services technology and business.,Non-Public Stock,Sale (Full),12/10/2024,"$250,001 - $500,000"
Self,--,Keysight Technologies BondRate/Coupon:4.55%Matures:10/30/2024,Corporate Bond,Sale (Full),10/30/2024,"$50,001 - $100,000"
Self,CEQP,Crestwood Equity Partners LP (Exchanged)Energy Transfer LP (Received),Stock,Exchange,11/06/2023,"$50,001 - $100,000"
Self,DDOG,Datadog; Inc. - Class A Common Stock,Stock,Sale (Full),12/27/2023,"$1,001 - $15,000"
Self,--,445 Park CommonsCompany:445 Park Commons (Nashville; TN)Description:Underlying commercial real estate asset owned by NSHD MSE Block C Joint Venture; LLC in Nashville; TN.,Other Securities,Purchase,10/02/2023,"$250,001 - $500,000"
Self,--,NSHD MSE Block C Joint Venture; LLCCompany:NSHD MSE Block C Joint Venture; LLC (Nashville; TN)Description:LLC interest for the purpose of investing in commercial real estate.,Other Securities,Purchase,10/02/2023,"$250,001 - $500,000"
Self,TACO,Del Taco Restaurants; Inc. - Common Stock,Stock,Sale (Full),03/09/2022,"$15,001 - $50,000"
Self,BKEPP,Blueknight Energy Partners L.P. - Series A Preferr,Stock,Sale (Full),08/19/2022,"$15,001 - $50,000"
Child,SBNY,Signature Bank - Common Stock,Stock,Sale (Full),12/28/2021,"$15,001 - $50,000"
Child,SBNY,Signature Bank - Common Stock,Stock,Sale (Full),12/28/2021,"$15,001 - $50,000"
Child,SBNY,Signature Bank - Common Stock,Stock,Sale (Full),12/28/2021,"$15,001 - $50,000"
Child,--,HC D Hill Partners; LPCompany:HC D Hill Partners; LP (Wilmington; DE)Description:Limited Partnership for the purpose of acquiring; developing and selling commercial real estate,Other Securities,Purchase,06/15/2022,"$100,001 - $250,000"
Child,--,HC D Hill Partners; LPCompany:HC D Hill Partners; LP (Wilmington; DE)Description:Limited Partnership for the purpose of acquiring; developing and selling commercial real estate,Other Securities,Purchase,06/15/2022,"$100,001 - $250,000"
